Image,TargetObject
C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.7-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\WindowsDefender
C:\ProgramData\Microsoft\Windows Defender\platform\4.18.2009.2-0\MsMpEng.exe,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run\WindowsDefender
